flight,source,dest,start_date,days,depart,arrival
DP836,Алания,Москва,31.03.2021,ежедневно по 28.08,12:20,15:45
DP304,Анапа,Екатеринбург,05.06.2021,"ежедневно, кроме вт, чт с 05.06 по 19.09",0:30,5:40
DP383,Анапа,Казань,04.06.2021,"ежедневно, кроме ср, сб с 04.06 по 17.09",17:50,20:10
DP397,Анапа,Красноярск,14.06.2021,пн с 14.06 по 30.08,21:55,7:15
DP397,Анапа,Красноярск,11.06.2021,"ср, пт, вс с 11.06 по 10.09, а ещё 06.09",22:00,7:15
DP148,Анапа,Москва,05.06.2021,"ежедневно, кроме ср, вс с 05.06 по 18.09",8:30,10:40
DP148,Анапа,Москва,09.06.2021,ср с 09.06 по 15.09,8:45,10:55
DP148,Анапа,Москва,06.06.2021,вс с 06.06 по 19.09,9:00,11:10
DP146,Анапа,Москва,13.06.2021,"пт, вс с 13.06 по 12.09",9:30,11:40
DP146,Анапа,Москва,16.06.2021,ср с 16.06 по 08.09,9:35,11:40
DP146,Анапа,Москва,12.06.2021,"пн, вт, чт, сб с 12.06 по 11.09",10:10,12:20
DP150,Анапа,Москва,08.06.2021,"вт, чт с 08.06 по 16.09",15:35,17:45
DP150,Анапа,Москва,05.06.2021,"ежедневно, кроме вт, чт с 05.06 по 19.09",15:50,18:00
DP399,Анапа,Новосибирск,12.06.2021,"вт, чт, сб с 12.06 по 11.09",22:35,7:15
DP389,Анапа,Пермь,05.06.2021,"ежедневно, кроме ср, вс с 05.06 по 18.09",0:40,5:40
DP308,Анапа,Санкт-Петербург,05.06.2021,ежедневно с 05.06 по 19.09,8:00,11:00
DP391,Анапа,Уфа,05.06.2021,"ср, сб с 05.06 по 18.09",17:15,21:50
DP393,Анапа,Челябинск,09.06.2021,ср с 09.06 по 15.09,1:00,6:15
DP958,Анталия,Казань,01.10.2020,"чт, вс по 22.10",15:40,19:10
DP980,Анталия,Москва,30.09.2020,ежедневно с 28.09 по 18.10,12:20,15:45
DP840,Анталия,Москва,30.09.2020,ежедневно по 24.10,12:50,16:25
DP840,Анталия,Москва,25.10.2020,ежедневно с 25.10 по 24.03,14:40,18:20
DP860,Анталия,Москва,02.10.2020,"пн, вт, пт, сб по 24.10",15:00,18:35
DP860,Анталия,Москва,30.09.2020,"ср, чт, вс по 22.10",15:10,18:45
DP164,Астрахань,Москва,06.10.2020,"ежедневно, кроме ср по 24.10",10:40,11:55
DP164,Астрахань,Москва,25.10.2020,ежедневно с 25.10 по 24.03,11:30,12:50
DP164,Астрахань,Москва,07.10.2020,"только 7, 14, 21 октября",17:05,18:15
DP166,Астрахань,Москва,06.10.2020,ежедневно по 11.10,21:15,22:30
DP520,Астрахань,Санкт-Петербург,07.10.2020,"только 7, 14, 21 октября",10:40,12:45
DP520,Астрахань,Санкт-Петербург,27.10.2020,"вт, сб с 27.10 по 23.03",12:30,14:40
DP520,Астрахань,Санкт-Петербург,06.10.2020,"вт, пт, вс по 23.10",14:35,16:40
DP520,Астрахань,Санкт-Петербург,29.10.2020,чт с 29.10 по 25.03,14:45,16:50
DP520,Астрахань,Санкт-Петербург,26.10.2020,пн с 26.10 по 22.03,18:30,20:40
DP816,Баден-Баден,Москва,26.10.2020,"пн, вт, чт, сб с 26.10 по 25.03",13:40,18:50
DP600,Белгород,Санкт-Петербург,30.03.2021,"вт, чт, сб с 30.03 по 26.08",17:00,19:00
DP600,Белгород,Санкт-Петербург,14.03.2021,"14, 16, 18, 21, 23, 25 марта",17:50,19:45
DP846,Берлин,Москва,25.10.2020,ежедневно с 25.10 по 07.11,14:45,19:20
DP32,Вена,Братислава,19.10.2020,"только 18, 19, 20, 21, 22, 23, 24 октября",15:00,16:45
DP858,Венеция,Москва,25.10.2020,"ср, пт, вс с 25.10 по 24.03",10:55,16:10
DP196,Владикавказ,Москва,28.03.2021,ежедневно с 28.03 по 25.08,12:30,14:55
DP196,Владикавказ,Москва,14.03.2021,ежедневно по 27.03,16:10,18:40
DP4196,Владикавказ,Москва,01.07.2021,ежедневно с 01.07 по 30.10,19:00,21:35
DP508,Владикавказ,Санкт-Петербург,14.03.2021,"ежедневно, кроме вт, сб по 26.03",12:40,15:55
DP508,Владикавказ,Санкт-Петербург,28.03.2021,ежедневно с 28.03 по 25.08,18:30,21:40
DP184,Волгоград,Москва,13.03.2021,ежедневно по 27.03,10:25,12:15
DP184,Волгоград,Москва,28.03.2021,ежедневно с 28.03 по 25.08,15:45,17:35
DP182,Волгоград,Москва,13.03.2021,ежедневно по 27.03,21:05,22:55
DP182,Волгоград,Москва,28.03.2021,ежедневно с 28.03 по 25.08,21:30,23:15
DP518,Волгоград,Санкт-Петербург,28.03.2021,ежедневно с 28.03 по 25.08,14:35,17:05
DP518,Волгоград,Санкт-Петербург,13.03.2021,ежедневно по 27.03,20:30,23:05
